Date,"PPU – Percentage of Paying Users"
2019-01-26,0.0000
2019-01-27,0.0000
2019-01-28,0.0000
2019-01-29,0.0000
2019-01-30,0.0000
2019-01-31,0.0000
2019-02-01,0.0216
2019-02-02,0.0442
2019-02-03,0.0232
2019-02-04,0.0312
2019-02-05,0.0344
2019-02-06,0.0256
2019-02-07,0.0251
2019-02-08,0.0218
2019-02-09,0.0237
2019-02-10,0.0261
2019-02-11,0.0158
2019-02-12,0.0232
2019-02-13,0.0186
2019-02-14,0.0323
2019-02-15,0.0175
2019-02-16,0.0264
2019-02-17,0.0246
2019-02-18,0.0240
2019-02-19,0.0250
2019-02-20,0.0286
2019-02-21,0.0206
2019-02-22,0.0340
2019-02-23,0.0263
2019-02-24,0.0179
2019-02-25,0.5519
2019-02-26,0.0320
2019-02-27,0.0356
2019-02-28,0.0758
2019-03-01,0.0336
2019-03-02,0.0249
2019-03-03,0.0256
2019-03-04,0.0329
2019-03-05,0.0332
2019-03-06,0.0307
2019-03-07,0.0306
2019-03-08,0.0230
2019-03-09,0.0191
2019-03-10,0.0445
2019-03-11,0.0295
2019-03-12,0.0276
2019-03-13,0.0238
2019-03-14,0.0339
2019-03-15,0.0223
2019-03-16,0.0241
2019-03-17,0.0245
2019-03-18,0.0236
2019-03-19,0.0434
2019-03-20,0.0457
2019-03-21,0.0650
2019-03-22,0.0545
2019-03-23,0.0252
2019-03-24,0.0391
2019-03-25,0.9144
2019-03-26,0.0699
2019-03-27,0.3529
2019-03-28,0.3906
2019-03-29,0.4222
2019-03-30,0.6250
